temperature_avg,temperature_max,temperature_min,sea_level_pressure,pm25,pollution_level
16.9,25.1,6.6,1021.3,284.7958333333333,Poor
15.5,24.1,7.7,1021.0,219.72083333333333,Poor
14.9,22.8,8.0,1018.4,182.1875,Poor
18.3,24.7,11.5,1018.1,154.03750000000002,Poor
16.5,24.7,12.0,1017.4,223.20833333333331,Poor
16.6,22.2,10.2,1015.4,200.64583333333337,Poor
18.2,25.1,12.0,1014.4,285.225,Poor
15.6,23.2,10.9,1015.6,236.825,Poor
13.0,19.0,9.6,1016.9,276.90833333333336,Poor
12.3,19.0,8.9,1015.8,108.0,Poor
11.9,15.7,7.5,1018.9,107.625,Poor
12.0,17.0,6.7,1019.8,125.89166666666668,Poor
11.7,18.0,6.4,1017.3,181.01250000000005,Poor
14.6,21.0,6.8,1015.6,152.55416666666667,Poor
17.7,24.0,9.0,1014.5,152.32083333333335,Poor
17.4,27.2,12.2,1016.4,319.7375,Poor
15.9,22.4,8.4,1017.6,332.7083333333333,Poor
15.2,22.6,6.6,1018.2,279.6,Poor
12.7,19.5,8.0,1017.6,179.11666666666667,Poor
15.6,24.6,10.7,1015.7,54.79166666666666,Moderate
17.1,23.2,9.0,1017.1,93.375,Moderate
17.6,24.0,10.1,1014.8,103.0,Poor
17.2,26.0,11.5,1014.7,132.20833333333334,Poor
17.7,24.4,9.7,1017.0,127.70833333333331,Poor
17.4,24.4,10.1,1018.9,109.33333333333331,Poor
23.1,30.0,15.6,1014.9,56.458333333333336,Moderate
23.7,29.8,18.7,1014.0,135.83333333333334,Poor
20.9,27.8,15.8,1014.4,122.5,Poor
22.6,30.3,11.5,1015.4,69.66666666666667,Moderate
22.7,30.4,12.8,1017.7,79.83333333333333,Moderate
22.7,30.6,13.0,1018.4,62.708333333333336,Moderate
25.0,31.0,15.0,1015.7,1.9166666666666667,Good
24.9,32.4,15.2,1015.0,1.8333333333333333,Good
26.8,33.4,15.7,1014.5,1.7916666666666667,Good
23.7,29.1,15.8,1011.9,117.58333333333331,Poor
23.4,29.1,17.0,1011.4,122.70833333333331,Poor
24.3,29.0,15.6,1011.7,76.54166666666667,Moderate
24.3,31.0,16.8,1010.8,59.208333333333336,Moderate
22.4,29.5,17.1,1014.1,77.20833333333333,Moderate
24.1,29.2,14.5,1014.4,87.83333333333333,Moderate
26.8,33.0,19.0,1008.8,123.70833333333331,Poor
27.1,33.0,19.0,1009.9,64.79166666666667,Moderate
26.5,32.8,19.5,1010.5,62.875,Moderate
29.8,36.2,18.2,1012.7,52.04166666666666,Moderate
24.7,36.6,19.7,1012.8,128.33333333333334,Poor
26.2,32.0,19.5,1012.5,87.58333333333333,Moderate
29.9,37.0,19.5,1008.3,23.20833333333333,Good
30.4,37.5,21.6,1006.3,15.166666666666666,Good
32.3,39.0,21.5,1007.3,21.25,Good
33.4,39.1,24.8,1008.0,25.75,Good
29.5,36.9,21.5,1007.2,105.33333333333331,Poor
29.3,36.0,18.8,1008.8,117.75,Poor
30.9,37.0,19.0,1008.9,20.791666666666668,Good
31.6,38.0,23.2,1002.6,46.91666666666666,Good
33.1,39.0,24.0,1003.0,104.625,Poor
33.6,40.0,23.0,1003.8,109.625,Poor
34.0,40.6,26.3,1005.5,0.0,Good
33.9,39.6,25.8,1002.7,30.875,Good
33.3,39.4,24.8,1000.7,75.58333333333333,Moderate
33.4,40.0,21.2,1006.3,0.0,Good
33.2,40.3,22.2,1005.1,0.0,Good
34.0,40.7,22.2,1004.6,0.0,Good
34.7,41.5,22.0,1001.7,142.5,Poor
38.0,44.0,23.8,1001.1,133.375,Poor
35.4,44.0,28.0,1003.2,102.41666666666669,Poor
33.2,38.0,25.0,1004.6,158.29166666666666,Poor
35.1,39.2,25.3,1005.1,149.58333333333334,Poor
33.8,39.8,27.6,1005.5,107.29166666666669,Poor
37.1,42.0,27.5,1000.7,106.5,Poor
36.5,43.0,27.0,1001.8,128.125,Poor
37.3,42.4,27.4,1002.4,108.0,Poor
37.3,43.7,28.6,997.4,98.41666666666669,Moderate
37.3,42.8,31.2,996.2,94.375,Moderate
36.2,41.5,30.7,995.3,118.5,Poor
32.9,39.0,27.4,996.6,110.41666666666669,Poor
34.6,39.0,26.0,998.4,95.83333333333331,Moderate
37.4,41.0,30.6,998.8,93.5,Moderate
32.7,37.5,24.7,1002.3,38.66666666666666,Good
36.0,40.0,26.6,1001.7,45.375,Good
37.7,42.0,30.7,1000.9,65.16666666666667,Moderate
37.6,43.0,28.7,1001.2,67.08333333333333,Moderate
34.6,40.3,28.7,1001.1,77.66666666666667,Moderate
35.9,41.0,28.6,998.6,70.25,Moderate
35.7,41.2,30.0,997.6,75.125,Moderate
36.0,41.0,27.6,997.7,77.0,Moderate
32.6,40.7,26.0,996.9,32.958333333333336,Good
34.7,38.0,30.5,995.4,40.833333333333336,Good
35.6,40.0,30.0,1000.7,90.70833333333331,Moderate
31.1,40.1,26.0,999.8,97.29166666666669,Moderate
32.9,38.6,27.0,999.7,79.83333333333333,Moderate
35.5,39.9,31.2,999.7,40.375,Good
34.9,39.6,29.6,999.6,49.41666666666666,Good
34.4,39.4,26.0,998.3,43.66666666666666,Good
32.2,39.8,25.4,995.4,0.0,Good
28.4,36.6,24.4,998.1,29.666666666666668,Good
29.6,32.0,25.7,997.6,47.75,Good
33.6,36.7,28.8,996.7,43.66666666666666,Good
30.7,36.9,28.8,996.8,29.83333333333333,Good
33.3,37.0,27.8,996.2,29.666666666666668,Good
31.1,34.2,27.8,997.8,37.625,Good
30.4,35.4,26.7,997.8,41.458333333333336,Good
31.0,35.2,26.0,997.9,53.125,Moderate
32.4,35.2,26.2,999.0,36.0,Good
34.1,37.0,28.5,998.5,70.58333333333333,Moderate
34.1,37.2,29.0,998.4,52.458333333333336,Moderate
31.9,35.0,28.3,1001.3,38.25,Good
30.3,35.0,27.6,1002.6,26.58333333333333,Good
28.3,35.8,26.8,1003.9,57.583333333333336,Moderate
29.2,31.0,26.0,1000.0,41.375,Good
29.1,32.6,26.4,998.6,25.541666666666668,Good
30.9,35.0,26.0,997.4,28.375,Good
32.6,36.0,26.2,997.8,40.333333333333336,Good
33.3,36.0,26.4,999.7,35.375,Good
33.4,36.5,28.6,999.9,31.916666666666668,Good
31.2,36.7,28.0,997.8,36.79166666666666,Good
29.9,34.0,25.5,1000.2,26.83333333333333,Good
29.0,33.7,26.0,999.1,21.125,Good
31.3,34.5,27.0,997.6,18.0,Good
31.7,34.0,26.4,999.0,43.583333333333336,Good
32.6,36.0,27.6,999.6,46.04166666666666,Good
31.2,35.9,26.1,1000.4,28.75,Good
31.0,35.0,26.8,1004.1,64.91666666666667,Moderate
30.8,35.2,26.8,1005.0,30.666666666666668,Good
27.3,33.3,24.0,1002.4,33.166666666666664,Good
27.8,31.0,25.2,1001.3,30.625,Good
30.7,34.0,25.5,1000.1,30.33333333333333,Good
30.7,34.0,25.0,1000.5,31.75,Good
31.1,35.0,25.0,1003.1,0.0,Good
31.3,35.0,26.0,1004.6,0.0,Good
31.4,36.0,26.7,1006.7,83.45833333333333,Moderate
30.4,35.6,25.7,1006.5,71.66666666666667,Moderate
31.7,37.1,26.0,1003.2,62.375,Moderate
32.5,37.2,25.3,1003.0,24.875,Good
32.6,37.4,27.0,1005.8,37.333333333333336,Good
30.7,34.8,25.6,1004.5,41.5,Good
31.4,35.2,26.0,1005.8,48.91666666666666,Good
31.9,36.0,26.5,1007.2,26.666666666666668,Good
32.4,36.4,27.5,1007.8,29.0,Good
30.3,35.0,24.7,1007.3,60.54166666666666,Moderate
29.9,35.0,23.0,1006.3,41.583333333333336,Good
30.0,36.0,22.5,1004.9,50.91666666666666,Moderate
28.6,35.0,19.8,1008.2,82.83333333333333,Moderate
28.3,35.2,19.0,1009.4,95.25,Moderate
26.8,35.2,17.5,1010.4,115.83333333333331,Poor
27.6,35.0,17.6,1007.6,136.70833333333334,Poor
27.7,35.0,18.6,1006.9,160.66666666666666,Poor
27.3,35.0,19.0,1007.8,173.58333333333334,Poor
27.2,34.5,19.5,1009.0,261.6666666666667,Poor
26.4,33.0,18.4,1012.4,272.4166666666667,Poor
25.4,33.4,16.5,1014.3,226.29166666666663,Poor
23.7,31.7,15.5,1017.7,99.70833333333331,Moderate
23.4,31.1,14.2,1016.0,217.375,Poor
22.6,30.6,15.8,1015.4,309.375,Poor
23.9,32.0,14.5,1015.6,166.91666666666666,Poor
23.2,30.2,14.0,1012.6,278.0,Poor
22.5,29.5,15.6,1013.3,192.33333333333331,Poor
21.7,30.0,12.2,1014.5,235.33333333333331,Poor
22.2,30.2,13.6,1015.6,221.54166666666663,Poor
20.8,29.3,12.1,1016.7,210.54166666666663,Poor
20.7,28.8,10.6,1017.8,251.20833333333331,Poor
20.8,29.0,10.5,1013.9,194.70833333333331,Poor
22.0,31.0,10.7,1013.2,250.875,Poor
21.4,30.6,10.8,1011.9,274.875,Poor
24.2,31.0,16.5,1013.0,160.0,Poor
22.7,30.8,13.6,1012.0,217.91666666666663,Poor
21.4,29.6,12.7,1013.7,184.20833333333331,Poor
19.2,25.9,11.9,1017.0,176.375,Poor
18.9,25.8,11.5,1017.9,185.95833333333331,Poor
19.3,27.0,11.7,1019.6,195.375,Poor
17.8,24.8,11.2,1017.0,365.2916666666667,Poor
15.8,24.3,8.7,1015.8,312.2083333333333,Poor
18.2,27.0,7.7,1013.7,237.625,Poor
19.0,27.1,10.5,1015.1,202.875,Poor
18.0,26.6,10.5,1017.1,260.1666666666667,Poor
17.2,24.2,10.0,1017.2,403.9583333333333,Poor
16.3,23.0,6.6,1016.9,284.1666666666667,Poor
18.1,24.0,11.2,1015.4,288.4166666666667,Poor
17.8,25.0,10.7,1015.8,256.8333333333333,Poor
13.9,24.5,11.4,1015.0,169.0,Poor
16.3,23.0,9.8,1016.9,186.04166666666663,Poor
16.3,23.4,9.0,1017.3,185.58333333333331,Poor
